IP,cf-meta-ip,端口,速度(Mbps),CF归属国,机房,TCP延迟(ms),TLS延迟(ms)
94.103.95.115,94.103.95.115,443,1.7,NL,AMS,153.12,162.25
5.181.180.20,5.181.180.20,443,1.67,NL,AMS,151.34,164.23
152.53.200.51,152.53.200.51,443,1.67,NL,AMS,152.1,170.62
5.181.177.189,5.181.177.189,443,1.65,NL,AMS,155.26,187.56
85.136.181.42,85.136.181.42,443,1.64,NL,AMS,143.04,147.98
193.0.178.27,193.0.178.27,443,1.64,NL,AMS,164.08,179.2
212.113.109.73,212.113.109.73,443,1.61,NL,FRA,157.66,180.6
152.53.200.71,152.53.200.71,443,1.55,NL,AMS,152.49,171.97
186.190.213.37,186.190.213.37,443,1.47,NL,DUS,141.61,159.36
152.53.200.200,152.53.200.200,443,1.41,NL,AMS,162.19,179.23
152.53.200.163,152.53.200.163,443,1.26,NL,AMS,156.86,196.9
82.24.123.193,82.24.123.193,443,1.03,NL,AMS,138.06,146.12
45.198.0.157,45.198.0.157,443,3.76,PL,WAW,146.88,152.95
217.30.10.55,217.30.10.55,2053,3.75,PL,WAW,145.74,189.78
138.124.104.104,138.124.104.104,443,3.68,PL,WAW,146.82,156.72
178.17.59.162,178.17.59.162,443,3.52,PL,WAW,153.93,187.07
45.194.66.88,45.194.66.88,443,3.49,PL,WAW,154.22,170.13
81.90.17.57,81.90.17.57,443,3.41,PL,WAW,148.86,159.35
82.38.66.90,82.38.66.90,443,3.37,PL,WAW,151.41,181.41
194.87.128.46,194.87.128.46,443,3.34,PL,WAW,145.93,152.66
77.83.246.50,77.83.246.50,443,3.31,PL,WAW,155.92,164.26
188.116.40.37,188.116.40.37,443,3.3,PL,WAW,150.64,180.19
70.34.251.88,70.34.251.88,443,3.27,PL,WAW,150.81,163.12
139.28.97.152,139.28.97.152,443,3.23,PL,VNO,154.66,197.46
191.101.184.50,191.101.184.50,443,3.07,PL,WAW,151.58,174.65
89.125.84.172,89.125.84.172,2053,3.07,PL,WAW,161.8,182.36
139.28.97.231,139.28.97.231,443,3.02,PL,WAW,154.44,176.65
64.176.69.129,64.176.69.129,443,2.94,PL,WAW,170.84,162.04
217.182.79.55,217.182.79.55,8443,2.94,PL,WAW,163.97,199.88
37.252.6.119,37.252.6.119,443,2.9,PL,WAW,155.92,172.22
151.241.227.21,151.241.227.21,443,2.88,PL,WAW,158.9,164.95
178.17.59.61,178.17.59.61,443,2.81,PL,WAW,168.35,179.86
89.126.229.173,89.126.229.173,443,2.8,PL,WAW,151.95,178.85
64.176.68.73,64.176.68.73,443,2.79,PL,WAW,159.2,182.19
146.59.18.234,54.36.186.141,443,2.73,PL,WAW,160.46,168.41
31.56.188.190,31.56.188.190,443,2.72,PL,WAW,159.98,175.01
95.85.254.27,95.85.254.27,443,2.72,PL,WAW,156.85,164.76
82.38.65.88,82.38.65.88,443,2.68,PL,WAW,154.09,174.25
45.198.0.122,45.198.0.122,443,2.68,PL,WAW,150.06,160.6
82.118.20.234,82.118.20.234,443,2.66,PL,WAW,162.2,259.1
212.119.43.76,212.119.43.76,443,2.64,PL,WAW,165.62,173.69
139.28.97.152,139.28.97.152,8443,2.61,PL,VNO,163.04,228.24
45.43.137.179,45.43.137.179,443,2.51,PL,WAW,152.89,193.56
2.26.5.52,2.26.5.52,443,2.49,PL,WAW,181.05,192.43
103.167.234.26,103.167.234.26,443,2.41,PL,WAW,151.56,161.69
89.125.84.172,89.125.84.172,443,2.35,PL,WAW,164.17,180.44
91.92.46.238,91.92.46.238,443,2.34,PL,WAW,148.85,154.11
82.40.38.216,82.40.38.216,443,2.27,PL,WAW,159.52,170.63
212.192.22.177,212.192.22.177,443,2.16,PL,WAW,169.09,186.04
91.108.237.23,91.108.237.23,443,2.13,PL,WAW,160.46,167.24
51.68.141.223,51.68.141.223,443,2.12,PL,WAW,161.9,166.53
45.192.12.142,45.192.12.142,443,2.12,PL,WAW,147.95,152.57
51.75.32.106,217.182.79.55,8443,2.09,PL,WAW,163.66,166.72
31.169.126.35,31.169.126.35,443,2.06,PL,WAW,158.81,165.63
194.59.186.60,194.59.186.60,443,2.06,PL,FRA,165.39,209.42
54.36.186.141,54.36.186.141,443,2.05,PL,WAW,162.28,179.13
31.169.126.66,31.169.126.66,8443,1.93,PL,WAW,146.49,182.76
45.149.63.149,45.149.63.149,8443,1.88,PL,WAW,161.47,167.89
95.85.254.170,95.85.254.170,443,1.85,PL,WAW,157.11,177.42
2.27.79.22,2.27.79.22,443,1.83,PL,WAW,165.1,172.77
78.17.87.176,78.17.87.176,8443,1.82,PL,WAW,166.92,194.32
217.182.79.55,217.182.79.55,443,1.82,PL,WAW,167.37,203.95
81.27.101.164,81.27.101.164,443,1.8,PL,WAW,156.33,173.93
2.59.163.33,2.59.163.33,443,1.8,PL,WAW,153.19,165.55
51.75.32.106,217.182.79.55,443,1.79,PL,WAW,166.98,170.57
70.34.243.123,70.34.243.123,443,1.78,PL,WAW,159.77,161.52
45.144.50.4,45.144.50.4,443,1.68,PL,RIX,153.81,181.94
89.125.93.209,89.125.93.209,443,1.67,PL,WAW,161.25,179.25
2.59.163.12,2.59.163.12,443,1.61,PL,WAW,146.6,153.91
45.149.63.149,45.149.63.149,443,1.61,PL,WAW,160.15,166.8
31.169.126.66,31.169.126.66,443,1.59,PL,WAW,149.13,165.94
37.252.10.91,37.252.10.91,443,1.59,PL,WAW,166.36,197.95
45.192.12.17,45.192.12.17,443,1.58,PL,WAW,146.84,153.95
193.108.170.80,193.108.170.80,443,1.57,PL,WAW,163.28,164.99
45.192.12.17,45.192.12.17,8443,1.52,PL,WAW,147.15,153.35
94.103.0.67,94.103.0.67,443,1.49,PL,WAW,155.13,157.5
78.17.87.176,78.17.87.176,443,1.49,PL,WAW,179.88,199.28
78.10.222.98,78.10.222.98,443,1.48,PL,WAW,150.64,181.73
212.119.43.55,212.119.43.55,443,1.42,PL,WAW,162.84,178.3
31.129.48.139,31.129.48.139,8443,5.98,RU,ARN,210.39,239.21
31.129.48.139,31.129.48.139,443,4.25,RU,DME,227.27,248.68
31.129.49.103,31.129.49.103,8443,4.1,RU,ARN,182.22,184.12
31.129.49.103,31.129.49.103,443,3.76,RU,DME,177.57,203.29
192.144.57.214,192.144.57.214,443,2.76,RU,LHR,181.8,282.82
83.147.255.88,83.147.255.88,443,2.64,RU,ARN,161.84,186.36
212.193.35.100,212.193.35.98,443,2.62,RU,HEL,176.26,185.16
91.107.64.160,91.107.64.160,443,2.47,RU,HEL,176.81,222.7
217.26.28.58,217.26.28.58,443,2.45,RU,ARN,171.02,232.49
91.188.214.126,91.188.214.126,443,2.41,RU,DME,174.3,201.49
185.154.192.200,185.154.192.200,443,2.4,RU,DME,221.19,285.52
82.148.28.69,82.148.28.69,443,2.39,RU,DME,172.24,201.62
93.77.163.149,93.77.163.149,8443,2.32,RU,HEL,202.3,254.46
195.2.74.244,195.2.74.244,443,2.26,RU,LHR,173.9,276.63
77.73.66.223,77.73.66.223,443,2.25,RU,ARN,188.95,220.2
217.26.29.24,217.26.29.24,443,2.22,RU,ARN,170.22,218.03
217.26.26.14,217.26.26.14,443,2.22,RU,ARN,179.44,230.58
194.87.94.186,194.87.94.186,443,2.19,RU,OSL,171.5,252.16
93.77.163.215,93.77.163.215,443,2.15,RU,DME,171.83,217.65
79.174.13.53,79.174.13.53,443,2.15,RU,DME,181.31,201.16
82.148.28.69,82.148.28.69,2087,2.13,RU,DME,177.85,216.67
185.218.0.16,185.218.0.16,443,2.11,RU,ARN,163.46,192.46
217.114.12.143,217.114.12.143,443,2.11,RU,ARN,183.58,245.91
45.8.249.237,45.8.249.237,443,2.09,RU,HEL,173.17,201.9
93.77.165.76,93.77.165.76,443,2.08,RU,DME,191.69,306.37
93.77.166.38,93.77.166.38,8443,2.08,RU,DME,178.36,208.87
185.239.51.52,185.239.51.52,443,2.08,RU,DME,169.22,211.15
46.29.118.247,46.29.118.247,443,2.07,RU,ARN,175.91,274.18
46.29.118.247,46.29.118.247,8443,2.07,RU,FRA,173.25,293.15
213.226.124.66,213.226.124.66,443,2.05,RU,AMS,164.8,228.39
31.192.111.185,31.192.111.185,443,2.03,RU,DME,181.11,232.53
212.193.26.83,212.193.26.83,443,2.02,RU,DME,172.06,211.0
5.183.189.112,5.183.189.112,443,2.01,RU,DME,162.18,212.28
31.76.230.241,31.76.230.241,443,2.01,RU,DME,176.82,302.19
93.77.163.149,93.77.163.149,443,2.0,RU,FRA,229.46,290.05
178.20.41.204,178.20.41.204,8443,2.0,RU,LHR,170.66,279.38
193.124.130.225,193.124.130.225,443,2.0,RU,LHR,173.57,278.0
46.229.215.23,46.229.215.23,443,1.99,RU,DME,169.21,217.8
217.114.5.41,217.114.5.41,443,1.98,RU,ARN,189.45,247.36
2.27.54.168,2.27.54.168,443,1.98,RU,DME,178.88,206.38
93.77.163.215,93.77.163.215,8443,1.97,RU,FRA,176.33,274.07
141.98.190.45,141.98.190.45,443,1.93,RU,ARN,180.49,208.84
212.113.120.98,212.113.120.98,443,1.9,RU,DME,168.24,225.35
103.113.68.210,103.113.68.210,443,1.9,RU,ARN,180.81,251.16
45.132.185.212,45.132.185.212,443,1.88,RU,ARN,183.55,253.42
5.129.245.158,5.129.245.158,443,1.88,RU,DME,173.67,268.91
89.169.134.149,89.169.134.149,443,1.85,RU,HEL,183.95,205.78
5.101.50.226,5.101.50.226,443,1.84,RU,DME,158.65,207.68
93.77.166.38,93.77.166.38,443,1.84,RU,DME,184.23,284.62
92.51.38.43,92.51.38.43,443,1.82,RU,DME,166.02,214.54
185.147.27.21,185.147.27.21,443,1.8,RU,DME,163.63,194.55
195.133.145.236,195.133.145.236,443,1.79,RU,DME,173.18,236.64
95.182.120.255,95.182.120.255,443,1.79,RU,ARN,181.68,232.93
46.29.118.247,46.29.118.247,2053,1.78,RU,ARN,173.64,232.89
45.9.13.99,45.9.13.99,443,1.77,RU,CPH,171.88,236.03
2.27.54.170,2.27.54.170,443,1.75,RU,DME,184.08,212.97
81.85.78.197,81.85.78.197,443,1.75,RU,DME,185.44,249.06
157.22.230.81,157.22.230.81,443,1.74,RU,DME,175.69,202.89
45.90.218.109,45.90.218.109,443,1.74,RU,ARN,184.89,236.69
212.74.227.162,212.74.227.162,443,1.74,RU,DME,169.85,198.97
161.104.44.138,161.104.44.138,443,1.72,RU,DME,175.3,201.19
185.105.91.243,185.105.91.243,443,1.71,RU,ARN,188.05,237.34
94.232.248.149,94.232.248.149,443,1.71,RU,ARN,188.41,231.92
93.77.183.78,93.77.183.78,443,1.7,RU,FRA,179.72,273.66
178.20.41.204,178.20.41.204,443,1.69,RU,LHR,173.08,281.89
104.128.129.145,104.128.129.145,443,1.67,RU,ARN,192.13,233.65
45.90.46.160,45.90.46.160,443,1.64,RU,DME,183.7,234.31
2.26.104.64,2.26.104.64,443,1.64,RU,DME,179.0,207.18
185.125.219.207,185.125.219.207,443,1.63,RU,ARN,197.45,246.32
185.68.247.241,185.68.247.241,443,1.62,RU,ARN,191.7,257.36
5.181.108.232,5.181.108.232,443,1.61,RU,ARN,228.81,294.48
147.45.219.212,147.45.219.212,443,1.59,RU,FRA,188.93,330.45
155.212.216.144,155.212.216.144,443,1.59,RU,ARN,189.65,257.51
93.123.167.66,93.123.167.66,443,1.56,RU,DME,177.69,221.12
5.129.243.72,5.129.243.72,443,1.54,RU,HEL,201.53,228.95
45.90.216.27,45.90.216.27,443,1.52,RU,ARN,189.04,283.46
79.174.80.62,79.174.80.62,443,1.51,RU,ARN,187.49,234.98
176.108.250.165,176.108.250.165,443,1.51,RU,ARN,197.1,231.28
185.105.117.222,185.105.117.222,443,1.5,RU,ARN,188.84,249.51
2.26.104.119,2.26.104.119,443,1.49,RU,DME,181.64,222.25
109.205.56.213,109.205.56.213,443,1.47,RU,DME,194.46,228.88
212.22.82.144,212.22.82.144,443,1.47,RU,ARN,192.25,234.44
95.215.108.132,95.215.108.132,443,1.46,RU,FRA,186.84,264.09
80.76.42.191,80.76.42.191,443,1.44,RU,ARN,197.48,239.5
84.252.75.139,84.252.75.139,443,1.42,RU,OSL,188.02,246.39
93.77.183.78,93.77.183.78,8443,1.4,RU,HEL,173.17,238.28
89.169.4.156,89.169.4.156,443,1.4,RU,ARN,191.7,238.07
45.132.255.173,45.132.255.173,443,1.38,RU,ARN,199.46,239.39
92.241.18.106,92.241.18.106,443,1.37,RU,DME,200.79,266.17
185.217.199.148,185.217.199.148,443,1.34,RU,ARN,190.69,236.64
95.47.190.252,193.41.79.190,443,1.33,RU,DME,184.25,240.53
217.26.27.147,217.26.27.147,443,1.32,RU,ARN,235.1,237.93
109.248.168.38,109.248.168.38,443,1.3,RU,ARN,200.22,243.48
46.8.21.188,46.8.21.188,443,1.04,RU,ARN,192.04,241.56
38.180.56.25,38.180.56.25,443,3.06,SE,ARN,149.57,157.86
138.124.85.225,138.124.85.225,443,3.04,SE,ARN,159.45,164.92
89.125.243.165,89.125.243.165,443,3.02,SE,ARN,146.27,159.04
78.109.17.114,78.109.17.114,443,2.93,SE,ARN,147.65,158.38
89.127.201.202,89.127.201.202,443,2.92,SE,CPH,155.19,157.24
37.252.8.202,37.252.8.202,443,2.9,SE,ARN,158.7,173.86
130.49.190.27,130.49.190.27,443,2.88,SE,ARN,158.3,165.18
185.139.228.30,185.139.228.30,443,2.81,SE,ARN,160.97,159.16
37.252.9.236,37.252.9.236,443,2.81,SE,ARN,158.49,167.9
41.216.182.105,41.216.182.105,443,2.77,SE,ARN,162.45,165.23
193.233.252.145,193.233.252.145,443,2.7,SE,ARN,152.7,161.36
5.175.236.53,5.175.236.53,443,2.69,SE,FRA,169.09,239.29
38.180.56.25,38.180.56.25,8443,2.66,SE,ARN,154.91,154.38
142.111.244.5,142.111.244.5,443,2.6,SE,ARN,151.32,161.2
138.124.71.139,138.124.71.139,443,2.59,SE,ARN,153.0,156.01
91.186.217.49,91.186.217.49,443,2.59,SE,TLL,167.02,257.95
41.216.182.98,41.216.182.98,443,2.55,SE,OSL,155.3,171.7
138.124.85.152,138.124.85.152,443,2.55,SE,ARN,155.02,162.53
91.186.219.82,91.186.219.82,443,2.52,SE,TLL,169.94,224.5
213.21.246.96,213.21.246.96,443,2.46,SE,TLL,181.72,247.33
95.143.196.18,95.143.196.18,443,2.45,SE,ARN,151.41,171.74
185.159.75.51,185.159.75.51,443,2.44,SE,ARN,155.0,160.74
142.111.244.42,142.111.244.42,443,2.42,SE,ARN,153.35,152.84
213.21.246.96,213.21.246.96,8443,2.39,SE,TLL,202.97,235.72
193.233.252.198,193.233.252.198,443,2.38,SE,ARN,156.11,160.84
51.20.202.203,51.20.202.203,443,2.38,SE,ARN,148.36,166.96
91.186.216.240,91.186.216.240,443,2.37,SE,HEL,168.89,245.38
138.124.25.223,138.124.25.223,443,2.34,SE,HEL,170.17,291.54
89.22.236.0,89.22.236.0,443,2.33,SE,HEL,169.33,313.6
89.169.34.174,89.169.34.174,443,2.29,SE,TLL,171.74,218.47
213.21.251.234,213.21.251.234,443,2.28,SE,TLL,167.77,221.38
89.22.234.242,89.22.234.242,443,2.28,SE,HEL,170.03,300.1
77.110.96.220,77.110.96.220,443,2.27,SE,TLL,175.34,253.37
138.124.85.247,138.124.85.247,443,2.26,SE,ARN,152.66,158.94
138.124.26.228,138.124.26.228,443,2.26,SE,HEL,170.56,302.97
83.219.250.141,83.219.250.141,443,2.25,SE,ARN,169.63,161.68
185.58.115.45,185.58.115.45,443,2.23,SE,ARN,160.22,165.28
77.232.143.94,77.232.143.94,443,2.22,SE,TLL,181.77,260.1
138.124.250.35,138.124.250.35,443,2.2,SE,ARN,167.89,172.53
192.145.30.27,192.145.30.27,443,2.17,SE,ARN,155.6,166.97
87.251.85.34,87.251.85.34,443,2.15,SE,ARN,165.53,176.68
91.223.169.237,91.223.169.237,443,2.1,SE,ARN,159.04,169.04
138.124.250.94,138.124.250.94,443,1.98,SE,ARN,155.52,180.2
83.219.250.221,83.219.250.221,443,1.98,SE,ARN,164.08,156.38
109.120.134.104,109.120.134.104,443,1.95,SE,HEL,175.68,268.45
64.112.127.151,64.112.127.151,443,1.87,SE,ARN,150.28,163.81
5.175.236.54,5.175.236.54,443,1.87,SE,FRA,192.29,243.23
80.66.78.207,80.66.78.207,443,1.74,SE,ARN,154.98,163.22
91.186.216.59,91.186.216.59,443,1.72,SE,TLL,169.76,220.94
31.192.244.129,31.192.244.129,443,1.62,SE,ARN,193.28,202.6
132.243.246.239,132.243.246.239,443,1.58,SE,CPH,149.69,171.01
192.145.30.224,192.145.30.224,443,1.5,SE,ARN,163.07,177.61
45.197.12.118,45.197.12.118,443,2.27,SG,SIN,180.15,187.01
149.28.159.222,149.28.159.222,443,2.1,SG,SIN,180.04,184.32
178.128.86.3,178.128.86.3,443,2.0,SG,SIN,178.86,182.95
188.239.9.91,188.239.9.91,443,1.99,SG,SIN,187.84,199.02
47.82.155.79,47.82.155.79,8443,1.94,SG,SIN,183.54,185.28
47.82.155.79,47.82.155.79,2053,1.86,SG,SIN,180.52,191.26
43.134.174.114,43.134.174.114,443,1.74,SG,SIN,178.87,187.6
43.160.195.223,43.160.195.223,443,1.67,SG,SIN,183.14,186.57
60.249.21.30,60.249.21.30,443,2.17,TW,TPE,142.72,159.96
140.82.22.192,140.82.22.192,443,441.04,US,LAX,11.97,16.82
43.169.18.179,43.159.77.130,443,427.47,US,LAX,9.75,21.29
104.129.167.255,57.154.5.196,2096,307.47,US,LAX,13.35,12.1
104.129.166.131,57.154.5.196,2096,300.14,US,LAX,17.52,29.34
104.129.166.131,57.154.5.196,2083,292.37,US,LAX,9.04,45.28
104.129.167.255,57.154.5.196,2083,276.11,US,LAX,18.78,18.07
43.169.19.179,43.159.77.130,443,274.77,US,LAX,9.22,25.05
104.129.167.255,57.154.5.196,443,263.89,US,LAX,11.77,18.42
104.129.167.255,57.154.5.196,8443,262.87,US,LAX,10.61,24.86
107.172.241.7,107.172.241.7,443,251.86,US,LAX,8.46,18.64
104.129.166.131,57.154.5.196,2087,243.42,US,LAX,16.24,19.19
104.129.167.255,57.154.5.196,2087,238.37,US,LAX,15.92,17.98
192.161.60.5,192.161.60.5,443,228.59,US,LAX,9.71,17.68
104.129.166.131,57.154.5.196,2053,205.96,US,LAX,54.99,31.0
104.129.167.255,57.154.5.196,2053,202.98,US,LAX,11.01,14.35
104.129.166.131,57.154.5.196,8443,197.76,US,LAX,29.67,24.28
104.129.166.131,57.154.5.196,443,197.63,US,LAX,14.27,37.2
192.3.212.40,192.3.212.40,443,164.01,US,LAX,38.08,44.97
38.65.9.110,38.65.9.110,443,150.02,US,LAX,31.29,35.62
64.118.154.7,64.118.154.7,443,133.13,US,SJC,23.4,28.97
156.154.245.83,156.154.214.195,443,126.26,US,SJC,15.95,21.94
147.182.229.237,147.182.229.237,443,108.32,US,SJC,27.23,41.07
107.172.79.112,107.172.79.112,443,107.78,US,SJC,23.25,39.19
168.151.20.157,2602:f988:210:c4f::7f4,443,97.03,US,LAX,18.83,34.11
107.172.32.207,107.172.32.207,443,95.96,US,ORD,52.35,81.41
143.198.52.252,143.198.52.252,443,89.36,US,SJC,23.57,32.12
185.106.95.125,185.106.95.125,443,86.54,US,DFW,35.37,50.16
129.213.150.222,129.213.150.222,443,86.37,US,IAD,62.61,67.51
51.81.223.184,51.81.223.184,443,82.63,US,PDX,36.29,53.49
192.18.136.255,2603:c024:c00e:6588:2813:e25c:5935:82e1,443,82.27,US,SJC,18.65,28.96
43.170.25.96,43.152.134.101,443,75.38,US,IAD,49.04,51.78
192.9.157.76,192.9.157.76,443,73.79,US,SJC,18.41,47.48
192.129.220.4,192.129.220.4,443,72.73,US,LAX,19.53,51.42
129.146.137.214,2603:c020:14:b39f:73e4:5573:620c:f17c,443,68.16,US,LAX,14.05,61.5
77.110.124.132,77.110.124.132,443,61.82,US,ATL,58.46,69.48
163.192.47.170,163.192.47.170,443,59.09,US,SJC,27.47,24.15
104.129.59.249,104.129.59.249,443,58.36,US,SJC,13.9,46.74
129.159.37.136,2603:c024:c00d:b366:2fa3:6c2c:5a4d:4067,443,57.74,US,SJC,16.48,22.98
129.159.34.196,2603:c024:c005:ec5f:0:e477:e6f:c726,443,57.11,US,SJC,15.98,20.24
64.181.247.243,64.181.247.243,443,57.08,US,SJC,16.22,33.61
129.159.119.161,2603:c020:4013:7a7e:fdcd:bcf2:ae6a:3a94,443,53.05,US,IAD,61.13,65.05
155.94.173.121,155.94.173.121,443,53.01,US,DFW,28.74,45.64
66.63.166.118,66.63.166.118,443,43.24,US,ORD,47.89,57.21
45.13.214.27,45.13.214.27,443,42.08,US,DFW,30.61,44.89
205.172.57.27,205.172.57.27,443,41.62,US,EWR,69.32,85.78
104.168.87.130,104.168.87.130,443,40.3,US,SJC,22.3,40.17
107.174.40.115,107.174.40.115,443,40.04,US,LAX,9.43,19.64
49.51.34.124,49.51.34.124,443,37.58,US,SJC,17.11,24.08
163.192.22.57,163.192.22.57,443,35.33,US,SJC,27.78,20.45
46.17.107.199,46.17.107.199,443,32.58,US,EWR,64.79,80.64
185.204.54.203,2a12:9cc0:1::2e,443,31.94,US,EWR,68.2,70.58
166.1.160.140,166.1.160.140,443,31.12,US,EWR,64.87,81.32
169.197.94.149,169.197.94.149,443,29.8,US,EWR,65.5,72.8
47.254.57.63,47.254.57.63,443,29.62,US,SJC,17.62,25.63
107.175.189.144,107.175.189.144,443,28.1,US,ATL,44.19,51.04
159.89.182.67,159.89.182.67,443,28.04,US,EWR,63.01,71.23
204.44.74.241,204.44.74.241,443,27.15,US,BUF,64.56,103.26
23.95.148.8,23.95.148.8,443,26.72,US,YYZ,81.27,126.61
45.61.48.187,45.61.48.187,443,25.41,US,EWR,61.07,73.77
107.172.6.224,107.172.6.224,443,22.69,US,IAD,56.17,61.18
172.245.246.110,172.245.246.110,443,22.19,US,YYZ,64.75,131.51
159.60.146.82,159.60.174.9,443,21.77,US,LAX,16.63,53.31
172.174.11.248,172.190.157.189,443,21.64,US,IAD,60.87,68.06
107.174.67.116,107.174.67.116,443,20.87,US,YYZ,68.15,121.76
159.60.146.81,84.54.61.119,443,20.39,US,SJC,19.71,42.12
173.249.207.151,2607:9000:8000:22:218:9cff:fe54:8139,443,19.02,US,SJC,16.78,32.94
213.108.3.110,213.108.3.110,443,17.63,US,EWR,71.12,74.64
192.210.133.140,192.210.133.140,443,17.29,US,ORD,71.72,128.01
3.137.145.231,3.137.145.231,443,15.67,US,CMH,59.76,65.77
159.89.91.17,159.89.91.17,443,15.35,US,EWR,69.96,71.89
64.181.218.67,64.181.218.67,443,13.27,US,ORD,71.12,62.69
172.245.182.112,172.245.182.112,443,11.37,US,ATL,39.68,44.76
104.207.128.18,2001:19f0:5:6f11:5400:1ff:fe88:1fe,443,10.13,US,EWR,64.4,73.22
150.136.254.79,150.136.254.79,443,10.01,US,IAD,53.87,62.54
192.3.155.217,192.3.155.217,443,9.61,US,YYZ,68.67,122.39
50.228.203.26,50.228.203.26,443,9.1,US,MIA,68.23,71.64
212.124.105.20,212.124.105.20,443,8.55,US,IAD,55.86,56.74
72.249.205.12,72.249.205.12,443,8.38,US,LAX,14.47,29.07
23.94.41.146,23.94.41.146,443,6.54,US,BUF,47.99,85.43
185.204.54.233,185.204.54.233,443,5.34,US,EWR,71.5,73.97
144.31.143.6,144.31.143.6,443,2.24,US,ARN,170.15,202.85
72.249.205.119,72.249.205.119,443,1.07,US,LAX,16.57,30.51
